ALLOC_KEY,v_all
12202580,0.00385187
12242579,0.088036299
12252578,0.00037806
12262577,0.00221361
12282577,0.122947969
12312577,0.03182831
12332578,0.064870328
12342578,0.00384361
12372578,0.00851048
12382578,0.00163826
12392578,0.00995971
12402578,0.00434769
12412578,0.00321351
12332638,0.00688723
12332639,0.02450968
12332640,0.44302693
12332641,0.62857157
12342633,0.028021101
12342635,0.02584848
12342636,0.238624677
12342637,0.00432368
12342638,0.071704693
12342640,0.64789933
12352633,0.339556575
12352634,0.803102255
12352635,0.502127111
12352636,0.651663482
12352637,0.711237788
12352638,0.750513017
12352639,1.609067559
12352640,0.819120944
12362633,1.010454893
12362634,0.754334092
12362635,0.620713234
12362636,0.651872396
12362637,0.653991818
12362638,0.849976659
12362639,0.974660158
12362640,0.795185268
12362641,0.108039036
12372633,0.48276642
12372634,0.01492111
12372635,0.025362071
12372636,0.696816385
12372637,0.696552217
12372638,0.75562495
12372639,0.906405509
12372640,0.826826096
12372641,0.374383122
12372642,0.02113031
12382634,0.0078052
12382635,0.763978064
12382636,0.748547256
12382637,0.693447053
12382638,0.715872109
12382639,0.828180432
12382640,0.717187226
12382641,0.847812533
12382642,0.707579494
12392637,0.02401202
12392638,0.261038631
12392639,1.398607492
12392640,0.01403829
12392641,0.00616228
12392642,0.037600111
12362623,0.01873601
12372621,0.253355354
12372622,0.02079675
12372623,0.01197473
12382621,0.385731697
12382622,0.396270394
12382623,0.411705434
12382624,0.373953909
12392620,0.01406908
12392621,0.17075187
12392622,0.553479671
12392623,0.702870429
12392624,2.044446945
12392625,1.296155572
12402620,0.159152254
12402621,0.902489662
12402622,1.611691356
12402623,2.3890872
12402624,2.434936762
12402625,1.929457784
12402626,1.303033113
12412620,0.99125284
12412621,1.283090472
12412622,2.288902283
12412623,2.31867218
12412624,2.20583725
12412625,1.637467384
12422620,0.523931146
12422621,0.689677894
12422622,1.141223073
12422623,1.770088196
12422624,2.049889088
12432620,0.336138159
12432621,0.583947003
12432622,0.578830242
12432623,0.474242181
12442620,0.00699306
12442621,0.271059304
12442622,0.308011442
12442623,0.492579848
12452622,0.00658722
12462622,0.334825069
12472622,0.328193963
12492622,0.301144719
12502622,0.46140936
12402633,0.302065223
12402634,0.00803778
12402636,0.113104187
12402637,2.240222454
12402638,2.710617065
12402639,2.834303379
12402640,2.177113295
12402641,1.86877346
12402642,1.10454762
12402643,0.255774051
12412632,0.414500743
12412633,0.480852336
12412634,0.530595481
12412635,0.365275145
12412636,0.571476281
12412637,2.187738419
12412638,2.749990463
12412639,2.405678749
12412640,2.596006155
12412641,2.482170343
12412642,0.677335918
12412643,0.764327466
12412644,0.167565733
12412645,0.03928262
12422632,0.513205528
12422633,0.375231951
12422634,0.449974746
12422636,0.430517286
12422637,1.11525178
12422638,2.363976479
12422639,2.369637489
12422640,2.428824425
12422641,2.445161104
12422642,0.530938148
12422643,0.514462769
12422644,0.247608364
12422646,0.147658065
12432633,0.402569681
12432634,0.736057103
12432635,1.103812695
12432636,1.379438758
12432637,1.518659234
12432638,1.35616529
12432639,1.498445868
12432640,1.459071159
12442633,0.02405267
12442634,1.303606868
12442635,1.187043309
12442636,1.491628885
12442637,1.659068108
12442638,1.630285025
12442639,1.633776784
12452633,1.143249393
12452634,1.224229932
12452635,1.150286674
12452636,1.496246338
12462632,0.066052668
12462633,0.95664674
12462634,0.815980792
12472632,0.683636069
12372647,1.167269826
12212645,0.276194453
12222643,0.354312927
12222644,0.00849501
12222645,0.274094492
12222646,0.095390514
12232642,0.733946741
12232643,0.436306328
12232645,0.07718993
12232646,1.969062448
12242640,1.17397058
12242641,0.49326238
12242642,0.526566923
12242643,0.435845494
12242644,0.01463656
12242645,0.225236654
12242646,2.377401829
12252640,0.39596045
12252641,0.489491075
12252642,0.446630418
12252643,0.052155901
12252644,0.082550831
12252645,0.761882186
12252646,2.207092047
12262638,0.02839859
12262639,0.0072605
12262640,0.216088697
12262641,0.466157377
12262642,0.555348635
12262643,0.448813856
12262644,0.095442191
12262645,0.043514442
12262646,1.134499669
12272638,0.02060006
12272639,0.028448841
12272640,0.257514566
12272641,0.211739361
12272642,0.506849945
12272643,0.402079284
12272644,0.125719681
12272646,0.582712471
12282642,0.46705848
12282643,0.494149923
12282644,0.479236871
12282645,0.045384102
