country_name,ZS_ID,name_pov_2,povPct,povPop,IFP_mean_190,IFP_sum_190,IFP_mean_310,IFP_sum_310,WPO_mean_125,WPO_count_200,GDP_sum_gdp,POP_sum_pop,NDVI_mean,NPP_2010_mean,SOIL_mean,FOR_district_area,FOR_cover_area,FOR_cover_pct,FOR_loss_area,FOR_loss_pct,FOR_loss_annual_area,FOR_loss_annual_pct,BIODIV_pct,EBA_pct,PA_pct,CoastMean,CoastMed,OPollMean,PPollMed,ArtFiMean,ArtFiMed,DemFiMean,DemFiMed,AcidMean,AcidMed,PM_MOD_2010_mean,PM_MOD_2010_max,PM_MOD_ALL_mean,PM_MOD_ALL_max,PM2BRA_mean,PM2BRA_max,PM2DON_2013_max,PM2DON_2013_mean,PM2DON_2013_med,PM2DON_noDu_2013_max,PM2DON_noDu_2013_mean,PM2DON_noDu_2013_med,PM2DON_max,PM2DON_mean,PM2DON_noDu_max,PM2DON_noDu_mean,PM25em_mean,PM25em_max,PM10_mean,PM10_max,BC_mean,BC_max,NOx_mean,NOx_max,HG_mean,HG_max,LC_cat1,LC_cat2,LC_cat3,LC_cat4,LC_cat5,LC_cat6,LC_cat7,LC_cat8,LC_cat9,LC_cat10,LC_topcat_n,LC_topcat,LC_pchtree0005,LC_pchtree0510,LC_treesarea10,LC_treesarea05,LC_treesarea00,LC_areasumras,LC_pLCcat1_00,LC_pLCcat2_00,LC_pLCcat3_00,LC_pLCcat4_00,LC_pLCcat5_00,LC_pLCcat6_00,LC_pLCcat7_00,LC_pLCcat8_00,LC_pLCcat9_00,LC_pLCcat10_00,LC_pchLCcat1,LC_pchLCcat2,LC_pchLCcat3,LC_pchLCcat4,LC_pchLCcat5,LC_pchLCcat6,LC_pchLCcat7,LC_pchLCcat8,LC_pchLCcat9,LC_pchLCcat10,RUGG_mean,areaMolkm,ForestCoverkm,lnGDPcap2
Mozambique,1910,VILANKULO,41.67699814,29847,72.25653076,1734.156738,88.66816711,2128.035889,,,70.3569,34730,150,101.543859,0.602136378,1814.861938,340.7558594,18.77585602,69.62518311,20.43257141,5.355783463,1.571736217,97.04722595,95.692276,1.561351299,4.085102558,4.028897285,0.124366105,0.120673314,0.071873657,0.059967965,0.213511452,0.223494723,0.873209655,0.960369766,2.494736847,3.200000048,2.552631566,3,3.349369117,4.741332531,7,6.865737809,7,5,3.979100697,4,7,6.062064648,4,3.497150183,0.295,6.384,0,0,2.6E-14,4.66E-13,0,0,0,0,0.617,0.179,0.075,0.045,0.001,0.026,0,0.005,0.052,0,Cropland,1,-0.125,-0.011,0.0276,0.0279,0.0319,0.1583,0.592592597,0.206481487,0.073343083,0.044493176,0.000536062,0.026023392,0,0.00462963,0.051900584,0,0.041447304,-0.13146089,0.023920218,0.018619966,0.000276889,0,,0,0,,43189.97942,1814.861938,0.000340756,38.46205521
Mozambique,1895,MARRACUENE,9.882900238,8130,81.63610077,408.1805115,92.87905884,464.3952942,,,189.61,95114,115.4,83.06250191,4.373058399,467.0961914,14.42167854,3.087517977,10.37579918,71.94584656,0.79813838,5.534296036,97.37995911,96.87297821,0,3.744878292,3.716623306,0.146785691,0.138791919,0.119461052,0.098223828,0.0554469,0.06163051,0.283250451,0.283250451,5.674999952,6,5.625,5.800000191,9.740252177,11.9446249,15,14.48463357,14,11,10.42080378,10,14,13.19148922,10,9.302600861,94.53,94.53,1.00367E-10,1.00367E-10,0,0,0,0,0,0,0.762,0.125,0.03,0.012,0,0.025,0,0,0.046,0,Cropland,1,-0.342,-0.034,0.0017,0.0018,0.0027,0.0419,0.737840831,0.148673549,0.030029478,0.012343405,0,0.024871038,0,0.00036846,0.045873251,0,0.032209653,-0.159851402,0,0,,0,,-0.002080061,0,,39109.49423,467.0961914,1.44217E-05,38.66180801
Mozambique,1917,MUHALA,23.55699921,36356,62.83925629,62.83925629,82.48403931,82.48403931,,,142.516,248054,141,89,11.45692323,67.79627228,0.764430642,1.127540827,2.386782408,312.230072,0.183598652,24.01769829,0,0,0,,,,,,,,,,,1.600000024,1.600000024,1.299999952,1.299999952,5.199587478,5.522872925,8,7.148148148,7,6,5.833333333,6,7,6.314815044,6,5.037036896,40.032,40.032,4.2671E-11,4.2671E-11,0,0,0,0,0,0,0.731,0.082,0.003,0.009,0,0,0.174,0,0,0,Cropland,1,0,0,0,0,0,0.0057,0.731081069,0.082432434,0.002702703,0.009459459,0,0,0.174324319,0,0,0,0,0,-0.002080061,-0.000227726,,,0,,,,13976.84884,67.79627228,7.64431E-07,55.68066025
Mozambique,1681,NAMETIL,61.83160019,57201,75.22140503,752.2139893,92.13549805,921.3549194,,,33.6428,63100,184,90.06666565,4.313350006,916.7353516,99.67523193,10.8728466,22.86237144,22.93686295,1.758643985,1.764374018,7.490914345,0,0,,,,,,,,,,,1.749999988,2.200000048,1.530000007,1.700000048,4.675691975,5.17646122,9,6.976531943,7,7,5.629726206,6,8,6.001303673,6,4.825293541,10.144,10.705,0,0,0,0,0,0,0,0,0.954,0.041,0.003,0,0,0.001,0.001,0,0,0,Cropland,1,-0.133,-0.003,0.0028,0.0028,0.0032,0.0768,0.948663831,0.046614427,0.002511553,0.000200924,0,0.000602773,0.00140647,0,0,0,0.005930389,-0.120689712,0,-0.002080061,,7.99162E-05,0,,,,32296.63186,916.7353516,9.96752E-05,56.80149841
Mozambique,1685,IULUTI,61.87260056,36008,75.22140503,1353.985229,92.13549805,1658.438965,,,13.1941,83182,176.462,87.15476281,6.127627661,1398.490356,117.9694595,8.43548584,41.14108658,34.87435532,3.164699078,2.682642698,0,0,0,,,,,,,,,,,1.57142858,2,1.621428583,1.899999976,4.696498752,5.008245945,8,7.20528109,7,7,6.051959114,6,7,6.379897594,6,5.236797333,11.769,13.419,1.2676E-11,1.4389E-11,7.63E-13,8.83E-13,2.881E-12,3.223E-12,0,0,0.95,0.042,0.007,0,0,0,0,0,0,0,Cropland,1,-0.025,0,0.004,0.004,0.0041,0.1173,0.948839366,0.04320379,0.007430788,0.000328796,0,0.000197278,0,0,0,0,0.000901017,-0.019786805,0,0.000513162,,-0.002077983,,,,,20950.81754,1398.490356,0.000117969,76.54529572
Mozambique,1530,DIACA,66.59529877,11822,55.28492355,718.7039795,82.70303345,1075.139404,,,3.39758,16913,222.727,98.33333302,4.118856281,1026.351685,915.6123047,89.21038818,60.41713715,6.59855032,4.647471905,0.507580817,100,0,0,,,,,,,,,,,2.637500018,3.200000048,1.887499973,2,4.211661637,4.580303669,6,5.06,5,4,3.604705882,4,6,4.568235397,4,2.992941141,3.468,6.793,0,0,0,0,8.21E-13,1.629E-12,0,0,0.428,0.508,0.048,0.007,0,0,0.009,0,0,0,Forest,2,-0.001,-0.001,0.0429,0.043,0.043,0.0845,0.426471919,0.50917387,0.047832038,0.007302602,0,0,0.009219534,0,0,0,0.002568479,-0.002151384,0,0,,,0,,,,25375.82034,1026.351685,0.000915612,72.46733093
Mozambique,1791,CHIURAIRUE,77.16139984,60753,75.69247437,1892.31189,94.83322144,2370.830566,,,15.5861,105582,156.571,75.51250019,23.70281953,2133.156982,568.5824585,26.65450668,16.99165344,2.988423824,1.307050228,0.229878753,0,0,0,,,,,,,,,,,3.789999998,4.599999905,3.449999976,4.199999809,7.946851306,8.555187225,13,12.35710397,12,11,10.45345672,10,11,9.921067238,9,8.408819199,4.982,7.486,0,0,0,0,0,0,0,0,0.27,0.625,0.072,0.034,0,0,0,0,0,0,Forest,2,-0.004,-0.001,0.1148,0.1148,0.1153,0.1839,0.267836154,0.627371132,0.071596444,0.033112306,0,8.39349E-05,0,0,0,0,0.007207847,-0.004214282,0,0.021546144,,-0.002080061,,,,,153237.9364,2133.156982,0.000568582,77.80764008
Mozambique,1798,VILA EDUARDO MONDLANE,47.29309845,7731,82.44368744,4287.071777,95.34482574,4957.931152,,,3.29946,10268,135.488,60.91098517,1.159522029,4351.861816,208.6839142,4.795279026,20.23202324,9.695055962,1.556309462,0.745773554,0,0,0.598091424,,,,,,,,,,,4.327272719,6.099999905,3.999999989,5.300000191,6.902791759,7.690848351,16,13.28315318,13,13,10.98101766,11,12,10.95438957,10,8.8679142,1.423,1.748,0,0,0,0,1.129E-12,1.31E-12,0,0,0.302,0.65,0.022,0.024,0,0,0.001,0,0.002,0,Forest,2,-0.03,0,0.2198,0.2198,0.2265,0.3793,0.286231577,0.667995751,0.021950524,0.02168606,0,0,0.000508585,0,0.001627472,0,0.055294983,-0.026738899,0.004633896,0.089118294,,,0,,0,,47610.80301,4351.861816,0.000208684,64.69031525
Mozambique,1605,METARICA,69.21749878,13278,43.83065796,1314.919678,75.43592834,2263.077881,,,3.37836,18003,210.077,103.73718,6.246272167,2629.305176,1437.085449,54.65647125,21.85266113,1.520623684,1.680973887,0.116971053,0,0,0,,,,,,,,,,,3.049999989,3.400000095,2.896153872,3.400000095,6.099631151,8.143954277,9,8.284541724,8,9,7.728682171,8,9,8.469220161,8,7.800729752,1.644,2.336,0,0,0,0,0,0,0,0,0.112,0.877,0.01,0,0,0.001,0.001,0,0,0,Forest,2,-0.003,-0.001,0.1919,0.1921,0.1925,0.2188,0.108858168,0.879963338,0.009415333,0,0,0.000775795,0.000987376,0,0,0,0.027210895,-0.003606685,0.022471791,,,0,0,,,,40771.35853,2629.305176,0.001437085,73.63189697
Mozambique,1613,NACUMUA,74.22920227,7849,43.83065796,1183.427734,75.43592834,2036.770142,,,1.92521,10599,193.652,103.3478254,9.575745636,2258.99585,732.1325073,32.40964508,36.11668015,4.93307972,2.77820611,0.379467666,0,0,0,,,,,,,,,,,3.008695654,3.200000048,2.97826087,3.200000048,6.279648013,6.866521835,8,7.850849257,8,8,7.040870488,7,9,8.0159235,8,7.137473583,3.277,7.512,3.652E-12,8.145E-12,2.22E-13,5.01E-13,8.89E-13,1.796E-12,0,0,0.351,0.593,0.047,0.005,0,0.004,0,0,0,0,Forest,2,0,0,0.1115,0.1116,0.1116,0.1883,0.350172073,0.592879355,0.04699279,0.005490003,0,0.004383809,0,8.19403E-05,0,0,0.001053038,-0.000621955,0,0,,0,,-0.002080061,,,35186.52635,2258.99585,0.000732133,74.19203186
