Str_ID,Link_ID,From,Prov_Code,Str_Type,GPS_E,GPS_S,EndGPS_E,EndGPS_S,Obst_Type,Num_Spans,Over_Length,Span_Length,Clear_Soffit,Clear_Width,Walk_Width,Total_Width,Barrier_Height,Des_Type,Mat_Type,Surf_Type
BN001410:0373.47,N001410:0360.7,373470,Niassa,BRDG,37.8908004761,-13.4134302139,,,RIVR,3,45.00,15,8.00,7.30,1.20,,,GIRD,CONC,ASPH
BN001410:0374.46,N001410:0360.7,374460,Niassa,BRDG,37.8998184204,-13.4146995544,,,RIVR,3,19.00,4.2,6.50,8.20,0.00,,,VENT,CONC,ASPH
BN001410:0387.32,N001410:0360.7,387320,Niassa,BRDG,38.0177307129,-13.4164304733,,,STRM,4,11.80,0.9,1.90,8.60,1.70,,,CULV,CONC,ASPH
BN001410:0387.36,N001410:0360.7,387355,Niassa,BRDG,38.0180397034,-13.4164304733,,,RIVR,4,13.00,3.2,1.90,8.60,1.70,,,CULV,CONC,ASPH
BN036010:0004.38,N036010:0000.0,4379,Niassa,BRDG,36.5337028503,-14.7672243118,,,STRM,1,33.00,33,8.00,6.00,1.00,,,GIRD,CONC,CONC
BN036010:0008.67,N036010:0000.0,8669,Niassa,BRDG,36.5561141968,-14.7360477448,,,RIVR,1,36.00,36,1.50,6.00,2.00,,,GIRD,CONC,CONC
BN036010:0023.15,N036010:0000.0,23147,Niassa,BRDG,36.583190918,-14.6123199463,,,RIVR,1,43.00,43,8.00,6.00,1.50,,,GIRD,CONC,CONC
BN036010:0046.33,N036010:0000.0,46325,Niassa,BRDG,36.7130012512,-14.4689226151,,,RIVR,3,234.00,78,3.00,5.00,,,,BAIL,STEL,STEL
BN036010:0049.81,N036010:0046.4,49810,Niassa,BRDG,36.731388092,-14.4447202682,,,RIVR,1,38.00,38,8.00,6.00,1.50,,,GIRD,CONC,CONC
BN036010:0067.52,N036010:0046.4,67517,Niassa,BRDG,36.8092575073,-14.3178291321,,,RIVR,1,22.50,22.5,5.00,6.00,0.50,,,GIRD,CONC,CONC
BN036010:0075.49,N036010:0067.8,75492,Niassa,BRDG,36.8639183044,-14.2901144028,,,RIVR,1,22.50,22.5,5.00,6.00,0.50,,,GIRD,CONC,CONC
BN036010:0094.42,N036010:0067.8,94421,Niassa,BRDG,36.9664497375,-14.1701517105,,,RIVR,2,100.00,50,4.10,6.00,0.50,,,GIRD,CONC,CONC
BN036010:0096.93,N036010:0094.5,96928,Niassa,BRDG,36.982460022,-14.1558332443,,,RIVR,1,27.00,27,1.60,4.00,,,,BAIL,STEL,STEL
BN036010:0109.27,N036010:0094.5,109267,Niassa,BRDG,37.0613479614,-14.0795574188,,,RIVR,1,27.00,27,1.60,4.00,,,,BAIL,STEL,STEL
BN036010:0110.66,N036010:0094.5,110658,Niassa,BRDG,37.0713615417,-14.0721874237,,,STRM,1,24.00,24,3.60,4.00,,,,BAIL,STEL,STEL
BN036010:0119.58,N036010:0094.5,119584,Niassa,BRDG,37.1108398438,-14.0034608841,,,STRM,1,18.00,18,5.00,4.00,,,,BEAM,STEL,STEL
BN036010:0130.64,N036010:0121.4,130642,Niassa,BRDG,37.1441993713,-13.9150562286,,,STRM,1,30.00,30,2.80,4.00,,,,BAIL,STEL,STEL
